categoryName,trending_date,country,count,view_count
Autos & Vehicles,2020-08-20 00:00:00+00:00,France,10,1679135
Autos & Vehicles,2020-08-20 00:00:00+00:00,Germany,10,2008058
Autos & Vehicles,2020-08-20 00:00:00+00:00,India,3,3635563
Autos & Vehicles,2020-08-20 00:00:00+00:00,Japan,7,2094174
Autos & Vehicles,2020-08-20 00:00:00+00:00,Mexico,5,3811118
Autos & Vehicles,2020-08-20 00:00:00+00:00,Russia,6,3655976
Autos & Vehicles,2020-08-20 00:00:00+00:00,South Korea,8,3283153
Autos & Vehicles,2020-08-20 00:00:00+00:00,United Kingdom,2,435691
Autos & Vehicles,2020-08-20 00:00:00+00:00,United States,7,4471977
Autos & Vehicles,2020-08-21 00:00:00+00:00,Brazil,4,499245
Autos & Vehicles,2020-08-21 00:00:00+00:00,Canada,6,2813021
Autos & Vehicles,2020-08-21 00:00:00+00:00,France,8,1042453
Autos & Vehicles,2020-08-21 00:00:00+00:00,Germany,11,2930748
Autos & Vehicles,2020-08-21 00:00:00+00:00,India,3,3733444
Autos & Vehicles,2020-08-21 00:00:00+00:00,Japan,8,2030571
Autos & Vehicles,2020-08-21 00:00:00+00:00,Mexico,6,4515631
Autos & Vehicles,2020-08-21 00:00:00+00:00,Russia,9,5119530
Autos & Vehicles,2020-08-21 00:00:00+00:00,South Korea,7,3578707
Autos & Vehicles,2020-08-21 00:00:00+00:00,United Kingdom,3,1439433
Autos & Vehicles,2020-08-21 00:00:00+00:00,United States,7,5338054
Autos & Vehicles,2020-08-22 00:00:00+00:00,Brazil,3,485106
Autos & Vehicles,2020-08-22 00:00:00+00:00,Canada,5,3056942
Autos & Vehicles,2020-08-22 00:00:00+00:00,France,7,866884
Autos & Vehicles,2020-08-22 00:00:00+00:00,Germany,14,4393483
Autos & Vehicles,2020-08-22 00:00:00+00:00,Japan,5,1639722
Autos & Vehicles,2020-08-22 00:00:00+00:00,Russia,9,2457849
Autos & Vehicles,2020-08-22 00:00:00+00:00,South Korea,6,2006266
Autos & Vehicles,2020-08-22 00:00:00+00:00,United Kingdom,4,2502276
Autos & Vehicles,2020-08-22 00:00:00+00:00,United States,7,6273376
Autos & Vehicles,2020-08-23 00:00:00+00:00,Brazil,3,657032
Autos & Vehicles,2020-08-23 00:00:00+00:00,Canada,5,3376004
Autos & Vehicles,2020-08-23 00:00:00+00:00,France,6,794973
Autos & Vehicles,2020-08-23 00:00:00+00:00,Germany,12,5795602
Autos & Vehicles,2020-08-23 00:00:00+00:00,Japan,8,2576674
Autos & Vehicles,2020-08-23 00:00:00+00:00,Mexico,4,3594202
Autos & Vehicles,2020-08-23 00:00:00+00:00,Russia,12,1731003
Autos & Vehicles,2020-08-23 00:00:00+00:00,South Korea,6,2578943
Autos & Vehicles,2020-08-23 00:00:00+00:00,United Kingdom,3,2050105
Autos & Vehicles,2020-08-23 00:00:00+00:00,United States,6,5978218
Autos & Vehicles,2020-08-24 00:00:00+00:00,Brazil,3,791580
Autos & Vehicles,2020-08-24 00:00:00+00:00,Canada,2,2188452
Autos & Vehicles,2020-08-24 00:00:00+00:00,France,7,881425
Autos & Vehicles,2020-08-24 00:00:00+00:00,Germany,12,6391432
Autos & Vehicles,2020-08-24 00:00:00+00:00,Japan,7,2545547
Autos & Vehicles,2020-08-24 00:00:00+00:00,Mexico,4,3684917
Autos & Vehicles,2020-08-24 00:00:00+00:00,Russia,9,2409148
Autos & Vehicles,2020-08-24 00:00:00+00:00,South Korea,3,2076693
Autos & Vehicles,2020-08-24 00:00:00+00:00,United Kingdom,5,4516010
Autos & Vehicles,2020-08-24 00:00:00+00:00,United States,4,3191913
Autos & Vehicles,2020-08-25 00:00:00+00:00,Brazil,2,807440
Autos & Vehicles,2020-08-25 00:00:00+00:00,Canada,2,2326515
Autos & Vehicles,2020-08-25 00:00:00+00:00,France,8,1375247
Autos & Vehicles,2020-08-25 00:00:00+00:00,Germany,10,5360299
Autos & Vehicles,2020-08-25 00:00:00+00:00,Japan,10,3075137
Autos & Vehicles,2020-08-25 00:00:00+00:00,Mexico,4,3750167
Autos & Vehicles,2020-08-25 00:00:00+00:00,Russia,10,3891865
Autos & Vehicles,2020-08-25 00:00:00+00:00,South Korea,2,1482738
Autos & Vehicles,2020-08-25 00:00:00+00:00,United Kingdom,3,4218946
Autos & Vehicles,2020-08-25 00:00:00+00:00,United States,3,2604160
Autos & Vehicles,2020-08-26 00:00:00+00:00,Brazil,1,199268
Autos & Vehicles,2020-08-26 00:00:00+00:00,Canada,1,1424953
Autos & Vehicles,2020-08-26 00:00:00+00:00,France,8,1274776
Autos & Vehicles,2020-08-26 00:00:00+00:00,Germany,9,4349905
Autos & Vehicles,2020-08-26 00:00:00+00:00,Japan,9,2534141
Autos & Vehicles,2020-08-26 00:00:00+00:00,Mexico,4,4323025
Autos & Vehicles,2020-08-26 00:00:00+00:00,Russia,17,7926895
Autos & Vehicles,2020-08-26 00:00:00+00:00,South Korea,1,1009554
Autos & Vehicles,2020-08-26 00:00:00+00:00,United Kingdom,3,2918239
Autos & Vehicles,2020-08-26 00:00:00+00:00,United States,3,3348307
Autos & Vehicles,2020-08-27 00:00:00+00:00,Brazil,1,220937
Autos & Vehicles,2020-08-27 00:00:00+00:00,Canada,2,2036674
Autos & Vehicles,2020-08-27 00:00:00+00:00,France,8,1248080
Autos & Vehicles,2020-08-27 00:00:00+00:00,Germany,7,3567235
Autos & Vehicles,2020-08-27 00:00:00+00:00,Japan,8,2450576
Autos & Vehicles,2020-08-27 00:00:00+00:00,Mexico,2,3167798
Autos & Vehicles,2020-08-27 00:00:00+00:00,Russia,12,5876369
Autos & Vehicles,2020-08-27 00:00:00+00:00,South Korea,1,1035112
Autos & Vehicles,2020-08-27 00:00:00+00:00,United Kingdom,5,2827095
Autos & Vehicles,2020-08-27 00:00:00+00:00,United States,3,2346010
Autos & Vehicles,2020-08-28 00:00:00+00:00,Brazil,1,243634
Autos & Vehicles,2020-08-28 00:00:00+00:00,Canada,2,2246381
Autos & Vehicles,2020-08-28 00:00:00+00:00,France,7,1216280
Autos & Vehicles,2020-08-28 00:00:00+00:00,Germany,7,3493704
Autos & Vehicles,2020-08-28 00:00:00+00:00,Japan,8,2482985
Autos & Vehicles,2020-08-28 00:00:00+00:00,Mexico,2,3361820
Autos & Vehicles,2020-08-28 00:00:00+00:00,Russia,12,7546522
Autos & Vehicles,2020-08-28 00:00:00+00:00,South Korea,1,1051845
Autos & Vehicles,2020-08-28 00:00:00+00:00,United Kingdom,5,3233202
Autos & Vehicles,2020-08-28 00:00:00+00:00,United States,3,2561970
Autos & Vehicles,2020-08-29 00:00:00+00:00,Brazil,1,259239
Autos & Vehicles,2020-08-29 00:00:00+00:00,Canada,1,466902
Autos & Vehicles,2020-08-29 00:00:00+00:00,France,7,1751475
Autos & Vehicles,2020-08-29 00:00:00+00:00,Germany,8,2852232
Autos & Vehicles,2020-08-29 00:00:00+00:00,India,1,117582
Autos & Vehicles,2020-08-29 00:00:00+00:00,Japan,5,1283877
Autos & Vehicles,2020-08-29 00:00:00+00:00,Mexico,2,3464993
Autos & Vehicles,2020-08-29 00:00:00+00:00,Russia,13,4274045
Autos & Vehicles,2020-08-29 00:00:00+00:00,United Kingdom,5,3350087
Autos & Vehicles,2020-08-29 00:00:00+00:00,United States,1,466902
Autos & Vehicles,2020-08-30 00:00:00+00:00,Brazil,2,409137
Autos & Vehicles,2020-08-30 00:00:00+00:00,Canada,1,480976
Autos & Vehicles,2020-08-30 00:00:00+00:00,France,5,1593330
Autos & Vehicles,2020-08-30 00:00:00+00:00,Germany,8,3979676
Autos & Vehicles,2020-08-30 00:00:00+00:00,India,1,204448
Autos & Vehicles,2020-08-30 00:00:00+00:00,Japan,4,1203074
Autos & Vehicles,2020-08-30 00:00:00+00:00,Mexico,2,3548880
Autos & Vehicles,2020-08-30 00:00:00+00:00,Russia,12,4255505
Autos & Vehicles,2020-08-30 00:00:00+00:00,United Kingdom,6,5417398
Autos & Vehicles,2020-08-30 00:00:00+00:00,United States,1,480976
Autos & Vehicles,2020-08-31 00:00:00+00:00,Brazil,1,158712
Autos & Vehicles,2020-08-31 00:00:00+00:00,Canada,1,152505
Autos & Vehicles,2020-08-31 00:00:00+00:00,France,4,1761489
Autos & Vehicles,2020-08-31 00:00:00+00:00,Germany,6,3792693
Autos & Vehicles,2020-08-31 00:00:00+00:00,India,1,259229
Autos & Vehicles,2020-08-31 00:00:00+00:00,Japan,5,1579278
Autos & Vehicles,2020-08-31 00:00:00+00:00,Mexico,2,3626172
Autos & Vehicles,2020-08-31 00:00:00+00:00,Russia,15,3877463
Autos & Vehicles,2020-08-31 00:00:00+00:00,South Korea,1,40323
Autos & Vehicles,2020-08-31 00:00:00+00:00,United Kingdom,6,5865213
Autos & Vehicles,2020-08-31 00:00:00+00:00,United States,1,491746
Autos & Vehicles,2020-09-01 00:00:00+00:00,Brazil,1,167177
Autos & Vehicles,2020-09-01 00:00:00+00:00,Canada,2,1230162
Autos & Vehicles,2020-09-01 00:00:00+00:00,France,5,2764408
Autos & Vehicles,2020-09-01 00:00:00+00:00,Germany,7,3335195
Autos & Vehicles,2020-09-01 00:00:00+00:00,India,1,299607
Autos & Vehicles,2020-09-01 00:00:00+00:00,Japan,4,1356017
Autos & Vehicles,2020-09-01 00:00:00+00:00,Mexico,2,1075291
Autos & Vehicles,2020-09-01 00:00:00+00:00,Russia,14,3797300
Autos & Vehicles,2020-09-01 00:00:00+00:00,South Korea,2,439705
Autos & Vehicles,2020-09-01 00:00:00+00:00,United Kingdom,2,3081004
Autos & Vehicles,2020-09-01 00:00:00+00:00,United States,2,2051540
Autos & Vehicles,2020-09-02 00:00:00+00:00,Brazil,2,3470850
Autos & Vehicles,2020-09-02 00:00:00+00:00,Canada,3,4791181
Autos & Vehicles,2020-09-02 00:00:00+00:00,France,6,6663510
Autos & Vehicles,2020-09-02 00:00:00+00:00,Germany,11,6699453
Autos & Vehicles,2020-09-02 00:00:00+00:00,India,1,331400
Autos & Vehicles,2020-09-02 00:00:00+00:00,Japan,6,5220350
Autos & Vehicles,2020-09-02 00:00:00+00:00,Mexico,3,4897044
Autos & Vehicles,2020-09-02 00:00:00+00:00,Russia,15,5275057
Autos & Vehicles,2020-09-02 00:00:00+00:00,South Korea,2,593776
Autos & Vehicles,2020-09-02 00:00:00+00:00,United Kingdom,4,8113904
Autos & Vehicles,2020-09-02 00:00:00+00:00,United States,3,6116181
Autos & Vehicles,2020-09-03 00:00:00+00:00,Brazil,1,5555906
Autos & Vehicles,2020-09-03 00:00:00+00:00,Canada,2,2809606
Autos & Vehicles,2020-09-03 00:00:00+00:00,France,6,9190677
Autos & Vehicles,2020-09-03 00:00:00+00:00,Germany,17,8071863
Autos & Vehicles,2020-09-03 00:00:00+00:00,India,1,353380
Autos & Vehicles,2020-09-03 00:00:00+00:00,Japan,5,7382828
Autos & Vehicles,2020-09-03 00:00:00+00:00,Mexico,3,7342894
Autos & Vehicles,2020-09-03 00:00:00+00:00,Russia,17,7366968
Autos & Vehicles,2020-09-03 00:00:00+00:00,South Korea,3,1475032
Autos & Vehicles,2020-09-03 00:00:00+00:00,United Kingdom,4,5732752
Autos & Vehicles,2020-09-03 00:00:00+00:00,United States,3,4491749
Autos & Vehicles,2020-09-04 00:00:00+00:00,Brazil,1,7611025
Autos & Vehicles,2020-09-04 00:00:00+00:00,Canada,4,11228722
Autos & Vehicles,2020-09-04 00:00:00+00:00,France,5,9541778
Autos & Vehicles,2020-09-04 00:00:00+00:00,Germany,18,11493680
Autos & Vehicles,2020-09-04 00:00:00+00:00,India,1,199008
Autos & Vehicles,2020-09-04 00:00:00+00:00,Japan,4,8985976
Autos & Vehicles,2020-09-04 00:00:00+00:00,Mexico,2,9399782
Autos & Vehicles,2020-09-04 00:00:00+00:00,Russia,11,6721999
Autos & Vehicles,2020-09-04 00:00:00+00:00,South Korea,2,1746471
Autos & Vehicles,2020-09-04 00:00:00+00:00,United Kingdom,5,11732955
Autos & Vehicles,2020-09-04 00:00:00+00:00,United States,6,13463678
Autos & Vehicles,2020-09-05 00:00:00+00:00,Brazil,1,9528290
Autos & Vehicles,2020-09-05 00:00:00+00:00,Canada,5,14375632
Autos & Vehicles,2020-09-05 00:00:00+00:00,France,5,9795006
Autos & Vehicles,2020-09-05 00:00:00+00:00,Germany,24,14705739
Autos & Vehicles,2020-09-05 00:00:00+00:00,India,1,238364
Autos & Vehicles,2020-09-05 00:00:00+00:00,Japan,5,11233277
Autos & Vehicles,2020-09-05 00:00:00+00:00,Mexico,3,11960056
Autos & Vehicles,2020-09-05 00:00:00+00:00,Russia,11,6459604
