categoryName,view_count,likes,dislikes,comment_count
Film & Animation,544191,27709,354,2277
Entertainment,324665,0,0,0
Science & Technology,2050200,3382,1388,0
Sports,343295,10756,245,608
Gaming,232800,25160,11022,3221
Comedy,1767194,163946,861,16825
Entertainment,189179,19321,197,2183
Entertainment,99448,3731,107,315
Entertainment,4473208,70484,5221,2596
Entertainment,233538,31086,351,1060
Sports,477513,12567,122,608
Entertainment,829759,7563,287,756
Music,1559164,155111,319,7553
Entertainment,474409,7092,227,3551
Sports,702091,9697,197,1393
News & Politics,85513,1027,46,222
Music,42297,4446,23,201
News & Politics,242167,4496,567,1485
Sports,51914,592,14,152
Entertainment,122546,2915,81,280
Comedy,303511,6713,411,1275
People & Blogs,27587,3394,18,292
People & Blogs,534396,15389,249,869
Sports,426121,3339,106,857
People & Blogs,554126,54709,449,2712
News & Politics,252309,3187,184,766
Film & Animation,104340,950,111,145
Gaming,42497,6374,36,404
Film & Animation,3706044,0,0,0
Entertainment,1885508,62978,890,3695
Gaming,365510,52103,526,215
People & Blogs,3181599,204894,12476,16012
Sports,4223574,67214,2809,3701
People & Blogs,378965,12158,97,1246
Education,157618,13514,247,1695
Science & Technology,963682,58798,6246,6479
People & Blogs,463924,29842,909,857
News & Politics,460216,13699,562,1365
Science & Technology,583167,4761,737,1185
Music,998723,14922,543,1540
Entertainment,752659,12867,261,2469
Entertainment,534977,40129,436,1295
Film & Animation,50870,3079,33,201
Music,41573,2842,25,208
Education,335485,23848,284,2550
Comedy,811692,63957,357,1939
Comedy,120603,2370,56,204
People & Blogs,2192500,151205,1073,3435
Entertainment,553913,8698,281,1744
Film & Animation,132014,1823,110,326
News & Politics,234445,2138,761,2555
Music,61421,10412,115,684
People & Blogs,898666,59740,1349,1579
,176785,31527,328,6066
Music,827872,80245,1503,4684
Music,257634,10646,147,94
Film & Animation,158614,604,78,69
Entertainment,199753,3718,329,309
Comedy,74484,9343,80,870
People & Blogs,392841,29129,745,589
Music,1066528,81306,2367,5555
Music,629157,31657,935,2391
People & Blogs,97384,2034,41,273
News & Politics,680395,11759,1996,3549
Entertainment,535006,58888,3967,1893
Comedy,376128,38006,432,2653
Music,470025,106535,121,4333
Comedy,454574,5722,365,107
Entertainment,356461,32175,261,1255
Comedy,1431010,136225,12586,83477
People & Blogs,2351163,212131,5009,9153
People & Blogs,5224053,354927,8684,17979
Music,54857,1658,21,13
People & Blogs,120916,3606,188,1024
Entertainment,814012,96885,677,2141
Film & Animation,7092782,226902,5540,13469
Entertainment,497418,5476,298,515
Music,235657,24281,2760,1641
Music,1201328,63358,964,3421
Sports,986139,74825,1082,4370
Film & Animation,1507010,29400,993,5333
Howto & Style,396615,7073,355,1052
News & Politics,93214,2880,214,936
Film & Animation,121846,1516,98,171
,525900,2506,425,1326
Entertainment,222383,29368,393,0
News & Politics,192368,7172,308,999
Entertainment,952156,10461,2677,1363
Sports,2457712,33285,2348,1172
Music,594799,12052,206,228
Comedy,262241,12672,337,534
People & Blogs,211752,30804,717,5173
Entertainment,322365,20833,275,1729
People & Blogs,1368043,35433,611,2526
,854447,42854,1984,7267
Howto & Style,536265,20585,278,1803
Sports,415478,37719,954,2464
Entertainment,5806263,17746,8502,359
Education,74133,5713,87,272
Sports,68256,4754,103,322
Sports,99501,12918,237,1509
Music,1176222,20872,2182,1267
Film & Animation,81744,1662,100,289
Sports,95898,9046,139,377
Film & Animation,296668,2499,55,844
Music,50746,1613,52,53
Entertainment,1286000,14706,467,136
Music,537198,36211,401,1127
Entertainment,1093594,40152,715,4313
Music,1343422,64367,1958,2542
Entertainment,53260,777,18,0
Sports,169015,3999,81,683
Sports,236702,4121,63,388
Howto & Style,266050,23364,254,2514
Music,448156,49712,2344,6043
Autos & Vehicles,22997,2258,72,337
Sports,1042554,34441,856,4636
Sports,13657885,521196,7417,16967
Entertainment,131137,4506,157,452
Entertainment,564320,56652,4458,4426
Education,342336,11734,513,1609
People & Blogs,184988,25406,512,7367
Comedy,6042689,610346,5761,58830
Entertainment,41211,7150,84,409
Entertainment,398686,14391,2328,7692
Gaming,290461,32945,417,283
Film & Animation,246906,1071,200,48
Autos & Vehicles,181617,1962,112,166
Sports,60104,1575,17,181
Entertainment,649344,16750,213,962
Music,90926,7701,68,265
Sports,63575,5180,36,108
Music,1104931,42273,1206,1282
Pets & Animals,137363,5384,65,963
Sports,1094644,18198,521,1636
Entertainment,177198,1748,136,148
Science & Technology,1605941,17375,732,4323
People & Blogs,32366,4977,45,513
People & Blogs,687926,8048,1283,209
,868120,4015,707,1906
News & Politics,450887,19465,760,2590
Sports,2394783,63122,2933,6806
Education,86100,6760,434,0
Music,402574,26469,406,1233
Music,67547,3446,73,267
Sports,85940,3046,105,390
Film & Animation,382639,10332,93,0
Howto & Style,78438,2170,22,137
Sports,92121,1664,26,130
Music,5123059,117721,2120,5292
Entertainment,648339,83510,871,2951
Entertainment,52531,709,84,51
Music,943034,98834,893,8982
People & Blogs,468595,5988,1976,2489
Entertainment,932285,25918,862,1392
