categoryName,view_count,likes,dislikes,comment_count
Entertainment,1566933,231228,3854,13587
Entertainment,282268,10508,60,1069
Gaming,99439,5074,210,840
Entertainment,215345,5887,261,1216
Entertainment,610516,17482,211,530
Entertainment,975131,95957,3791,2117
Sports,194874,13666,442,1569
Comedy,881852,66158,2340,2871
Entertainment,219571,7266,181,716
,414221,54588,1729,6879
Entertainment,842901,105776,1840,4182
Entertainment,39136,1953,38,93
Sports,1962465,22970,646,1221
Comedy,1624611,40205,9817,947
Film & Animation,239797,19573,104,838
Entertainment,66466,1214,108,423
Film & Animation,335241,4649,183,213
Sports,162053,10413,127,472
Entertainment,67971,1571,45,74
Film & Animation,323081,1485,394,100
Howto & Style,143142,10463,109,245
News & Politics,83095,834,2031,0
Entertainment,104265,979,91,143
Entertainment,106810,23768,291,917
People & Blogs,914297,11626,477,1279
Gaming,750941,7397,1153,2841
Music,180908,11174,191,952
Entertainment,744799,23479,494,0
People & Blogs,113997,5416,477,203
Entertainment,260168,18608,156,461
Music,1756623,68257,476,2504
Travel & Events,596213,12389,683,1311
Sports,1329795,17553,676,2216
Sports,47353,387,9,17
Sports,180682,5175,47,140
Education,398060,17426,527,2745
Music,1876998,270424,2922,26811
Pets & Animals,479647,36171,1331,9892
Entertainment,1021918,65231,2702,2404
Autos & Vehicles,735260,29731,405,1793
Gaming,50184,9105,114,341
People & Blogs,425129,58686,634,4199
Sports,203406,2333,59,277
People & Blogs,442502,55300,1302,2489
Music,2154668,314263,8432,12106
Comedy,1032500,46109,2280,2904
Sports,815527,62396,1073,3970
Sports,653315,50154,1017,2344
Entertainment,4898765,120439,1932,13777
Music,97853,1702,37,125
People & Blogs,175807,8164,437,1704
Music,1918387,79253,2305,2766
Howto & Style,769268,3910,270,385
People & Blogs,92326,3806,75,192
Music,2775397,146855,2046,6930
Entertainment,78854,13563,129,1152
Howto & Style,767069,116201,735,32483
Comedy,1545323,62267,1576,21007
Sports,1145498,7631,332,3238
People & Blogs,930393,14404,176,1443
Entertainment,487715,30118,332,669
Music,302585,20746,822,1088
Entertainment,1853307,158432,1692,9746
Science & Technology,769177,45405,541,2681
People & Blogs,257178,35560,771,1420
Entertainment,1785865,13138,102,1383
Entertainment,117042,18644,102,968
Music,53227,312,25,5
People & Blogs,87539,11561,168,786
Entertainment,111537,11139,387,543
Entertainment,1080662,136298,1837,7007
Entertainment,1638900,50701,531,2510
Autos & Vehicles,316672,24974,213,1662
Entertainment,330109,28556,326,725
News & Politics,450645,13744,494,1095
Entertainment,1541237,27039,1594,2216
