categoryName,trending_date,country,count
Autos & Vehicles,2020-08-21 00:00:00+00:00,Canada,6
Autos & Vehicles,2020-08-21 00:00:00+00:00,France,8
Autos & Vehicles,2020-08-21 00:00:00+00:00,Germany,11
Autos & Vehicles,2020-08-21 00:00:00+00:00,India,3
Autos & Vehicles,2020-08-21 00:00:00+00:00,Japan,8
Autos & Vehicles,2020-08-21 00:00:00+00:00,Mexico,6
Autos & Vehicles,2020-08-21 00:00:00+00:00,Russia,9
Autos & Vehicles,2020-08-21 00:00:00+00:00,South Korea,7
Autos & Vehicles,2020-08-21 00:00:00+00:00,United Kingdom,3
Autos & Vehicles,2020-08-21 00:00:00+00:00,United States,7
Autos & Vehicles,2020-08-22 00:00:00+00:00,Brazil,3
Autos & Vehicles,2020-08-22 00:00:00+00:00,Canada,5
Autos & Vehicles,2020-08-22 00:00:00+00:00,France,7
Autos & Vehicles,2020-08-22 00:00:00+00:00,Germany,14
Autos & Vehicles,2020-08-22 00:00:00+00:00,Japan,5
Autos & Vehicles,2020-08-22 00:00:00+00:00,Russia,9
Autos & Vehicles,2020-08-22 00:00:00+00:00,South Korea,6
Autos & Vehicles,2020-08-22 00:00:00+00:00,United Kingdom,4
Autos & Vehicles,2020-08-22 00:00:00+00:00,United States,7
Autos & Vehicles,2020-08-23 00:00:00+00:00,Brazil,3
Autos & Vehicles,2020-08-23 00:00:00+00:00,Canada,5
Autos & Vehicles,2020-08-23 00:00:00+00:00,France,6
Autos & Vehicles,2020-08-23 00:00:00+00:00,Germany,12
Autos & Vehicles,2020-08-23 00:00:00+00:00,Japan,8
Autos & Vehicles,2020-08-23 00:00:00+00:00,Mexico,4
Autos & Vehicles,2020-08-23 00:00:00+00:00,Russia,12
Autos & Vehicles,2020-08-23 00:00:00+00:00,South Korea,6
Autos & Vehicles,2020-08-23 00:00:00+00:00,United Kingdom,3
Autos & Vehicles,2020-08-23 00:00:00+00:00,United States,6
Autos & Vehicles,2020-08-24 00:00:00+00:00,Brazil,3
Autos & Vehicles,2020-08-24 00:00:00+00:00,Canada,2
Autos & Vehicles,2020-08-24 00:00:00+00:00,France,7
Autos & Vehicles,2020-08-24 00:00:00+00:00,Germany,12
Autos & Vehicles,2020-08-24 00:00:00+00:00,Japan,7
Autos & Vehicles,2020-08-24 00:00:00+00:00,Mexico,4
Autos & Vehicles,2020-08-24 00:00:00+00:00,Russia,9
Autos & Vehicles,2020-08-24 00:00:00+00:00,South Korea,3
Autos & Vehicles,2020-08-24 00:00:00+00:00,United Kingdom,5
Autos & Vehicles,2020-08-24 00:00:00+00:00,United States,4
Autos & Vehicles,2020-08-25 00:00:00+00:00,Brazil,2
Autos & Vehicles,2020-08-25 00:00:00+00:00,Canada,2
Autos & Vehicles,2020-08-25 00:00:00+00:00,France,8
Autos & Vehicles,2020-08-25 00:00:00+00:00,Germany,10
Autos & Vehicles,2020-08-25 00:00:00+00:00,Japan,10
Autos & Vehicles,2020-08-25 00:00:00+00:00,Mexico,4
Autos & Vehicles,2020-08-25 00:00:00+00:00,Russia,10
Autos & Vehicles,2020-08-25 00:00:00+00:00,South Korea,2
Autos & Vehicles,2020-08-25 00:00:00+00:00,United Kingdom,3
Autos & Vehicles,2020-08-25 00:00:00+00:00,United States,3
Autos & Vehicles,2020-08-26 00:00:00+00:00,Brazil,1
Autos & Vehicles,2020-08-26 00:00:00+00:00,Canada,1
Autos & Vehicles,2020-08-26 00:00:00+00:00,France,8
Autos & Vehicles,2020-08-26 00:00:00+00:00,Germany,9
Autos & Vehicles,2020-08-26 00:00:00+00:00,Japan,9
Autos & Vehicles,2020-08-26 00:00:00+00:00,Mexico,4
Autos & Vehicles,2020-08-26 00:00:00+00:00,Russia,17
Autos & Vehicles,2020-08-26 00:00:00+00:00,South Korea,1
Autos & Vehicles,2020-08-26 00:00:00+00:00,United Kingdom,3
Autos & Vehicles,2020-08-26 00:00:00+00:00,United States,3
Autos & Vehicles,2020-08-27 00:00:00+00:00,Brazil,1
Autos & Vehicles,2020-08-27 00:00:00+00:00,Canada,2
Autos & Vehicles,2020-08-27 00:00:00+00:00,France,8
Autos & Vehicles,2020-08-27 00:00:00+00:00,Germany,7
Autos & Vehicles,2020-08-27 00:00:00+00:00,Japan,8
Autos & Vehicles,2020-08-27 00:00:00+00:00,Mexico,2
Autos & Vehicles,2020-08-27 00:00:00+00:00,Russia,12
Autos & Vehicles,2020-08-27 00:00:00+00:00,South Korea,1
Autos & Vehicles,2020-08-27 00:00:00+00:00,United Kingdom,5
Autos & Vehicles,2020-08-27 00:00:00+00:00,United States,3
Autos & Vehicles,2020-08-28 00:00:00+00:00,Brazil,1
Autos & Vehicles,2020-08-28 00:00:00+00:00,Canada,2
Autos & Vehicles,2020-08-28 00:00:00+00:00,France,7
Autos & Vehicles,2020-08-28 00:00:00+00:00,Germany,7
Autos & Vehicles,2020-08-28 00:00:00+00:00,Japan,8
Autos & Vehicles,2020-08-28 00:00:00+00:00,Mexico,2
Autos & Vehicles,2020-08-28 00:00:00+00:00,Russia,12
Autos & Vehicles,2020-08-28 00:00:00+00:00,South Korea,1
Autos & Vehicles,2020-08-28 00:00:00+00:00,United Kingdom,5
Autos & Vehicles,2020-08-28 00:00:00+00:00,United States,3
Autos & Vehicles,2020-08-29 00:00:00+00:00,Brazil,1
Autos & Vehicles,2020-08-29 00:00:00+00:00,Canada,1
Autos & Vehicles,2020-08-29 00:00:00+00:00,France,7
Autos & Vehicles,2020-08-29 00:00:00+00:00,Germany,8
Autos & Vehicles,2020-08-29 00:00:00+00:00,India,1
Autos & Vehicles,2020-08-29 00:00:00+00:00,Japan,5
Autos & Vehicles,2020-08-29 00:00:00+00:00,Mexico,2
Autos & Vehicles,2020-08-29 00:00:00+00:00,Russia,13
Autos & Vehicles,2020-08-29 00:00:00+00:00,United Kingdom,5
Autos & Vehicles,2020-08-29 00:00:00+00:00,United States,1
Autos & Vehicles,2020-08-30 00:00:00+00:00,Brazil,2
Autos & Vehicles,2020-08-30 00:00:00+00:00,Canada,1
Autos & Vehicles,2020-08-30 00:00:00+00:00,France,5
Autos & Vehicles,2020-08-30 00:00:00+00:00,Germany,8
Autos & Vehicles,2020-08-30 00:00:00+00:00,India,1
