video_id,categoryName,view_count,likes,dislikes,comment_count
-4TcP4g-lFg,Sports,87466,3263,90,359
-4Vw9RKOicY,Gaming,81126,6928,112,603
-4Yl8FYeWHc,Autos & Vehicles,58303,4497,310,657
-4_QqWMIsnE,Sports,417468,5293,111,713
-4frykbYBwA,Entertainment,92770,8929,41,248
-4hav57OkEQ,Entertainment,729569,10489,314,402
-4ibAAzTiaI,People & Blogs,98950,14440,74,2126
-4kCl8yWmZs,Music,264247,31357,4227,3113
-4n2JbVeJGM,Sports,680751,11381,210,1302
-4ni0pcKZ4w,Music,2260371,282010,2948,19362
-4oZLQdE-8I,Pets & Animals,505571,5463,536,414
-4pcVz_L0M4,Entertainment,407087,10912,386,675
-4pqXL3nlf8,Entertainment,4104508,323828,7590,5006
-4s3S97f8Uk,Comedy,359701,63663,354,3852
-4sfXSHSxzA,Howto & Style,4188250,192871,4814,7523
-4ttx8xnqYs,People & Blogs,130929,7772,685,483
-4vgLF7eFEQ,Science & Technology,1024969,53041,4439,3438
-4x1HrcxtvI,Music,106903,0,0,79
-4ypIQAeYmY,Film & Animation,687966,22676,136,1944
-4zsY28t76k,Autos & Vehicles,1288793,36240,1768,3357
-51POqHC5is,,47729,3453,147,614
-51Qrp7MOiU,Sports,258357,3393,212,95
-54PAKnVeNw,Entertainment,296440,7064,263,531
-555Hg5_Qqo,Entertainment,545985,11464,156,474
-5AbFBuzs24,Autos & Vehicles,26891,1412,84,304
-5NkvSgEfpI,Entertainment,1379897,44244,2711,2256
-5NwkXsx4wY,Film & Animation,668103,5279,279,317
-5PPcS_pWhA,Music,391142,14320,373,1191
-5QQZLZezaY,Entertainment,568841,79156,1251,4495
-5Rr3tf9Q6I,Entertainment,458544,14860,183,1049
-5TvBkj-MFM,News & Politics,170658,5874,387,401
-5iSLEtOUqY,Entertainment,2820236,22878,1606,1664
-5l_Gk4ybS8,Entertainment,236416,6487,229,1687
-5q5mZbe3V8,Music,161912058,11650994,141033,4225989
-5se6g8HUkk,Music,204735,1140,65,32
-5yqQ_0CnHo,Entertainment,1026434,15947,363,1023
-5zFvcdtZWk,Entertainment,385054,8221,361,666
-62mozHwCUo,Comedy,666278,38183,1045,693
-63LXYkR5zE,Entertainment,558804,36512,540,1526
-63a0LK42_g,Entertainment,1260076,126533,1750,2665
-67oFnwuSRw,Music,254354,35962,247,3229
-6DdWId6TVM,Music,4693660,93668,4256,5423
-6DvEEdAvU8,Sports,77720,2387,16,217
-6F3lEiP5a4,News & Politics,149280,5706,563,1233
-6FtVvTjRiI,Comedy,4688935,587358,9576,50865
-6Hw1ZoCapg,Howto & Style,1521854,91223,3909,6148
-6Ildn2Dq2A,Music,1618860,113274,3401,12583
-6JKxiIT_AE,Film & Animation,87171,13203,183,1388
-6KJA5nldEI,Howto & Style,1761153,47668,2278,3569
-6KZ6GfyOTE,Gaming,455190,63768,694,4124
-6Lig3HcpRg,Sports,460871,4942,242,4852
-6NwrTBqNaY,Autos & Vehicles,30730,2378,31,225
-6TO899eBVI,Sports,393378,4180,319,3032
-6VOypoUWk0,News & Politics,550548,3794,257,782
-6Ya5MZXtAI,Entertainment,1820735,39441,877,960
-6e-mmg8b60,Comedy,456587,38252,703,1938
-6hXc2lzfsk,Entertainment,186318,4970,96,690
-6iTos6hJn4,Howto & Style,107926,8856,112,107
-6k32HjrhWE,Comedy,490903,32899,910,2513
-6kFut3mpZg,People & Blogs,326867,26751,322,2845
-6nwMqmx8sE,Comedy,221023,3765,104,214
-6oejENyZJs,People & Blogs,2750339,20003,1680,1253
-6szajdx-Lk,Science & Technology,138586,6424,286,505
-6zExiuIotU,Entertainment,2918231,114351,1751,6046
-70sLMQLvno,Sports,117351,795,20,238
-72UKD1pjfs,Sports,1133562,28443,765,5228
-771tnJLScs,Science & Technology,373885,12838,174,2506
-77EfTpzsPg,Sports,179958,2984,139,245
-7A8wQ9qBJs,Entertainment,127119,16857,263,378
-7AXnrBdm0E,News & Politics,53994,2466,164,381
-7CuQ4pcFtQ,Music,2764773,99733,2548,3441
-7EwQd31U0g,Sports,63575,5180,36,108
-7GSlT2LNc0,Travel & Events,198495,17366,341,769
-7HBWFF32_0,Entertainment,261737,7617,195,583
-7Mpgl9VbXQ,Entertainment,346389,39845,468,3451
-7QMtlNPWi4,News & Politics,1102710,61497,1079,3883
-7RVbpldizM,Music,1252146,30129,590,1068
-7SKi3m7x4s,People & Blogs,462115,15190,859,786
-7ZK2YbcAIA,News & Politics,2196408,8588,554,5704
-7ZtL5JPL0M,Sports,306768,3538,141,516
-7_FB62z35A,News & Politics,440321,32963,760,2545
-7gGQ1tSiJU,Comedy,78660,4670,148,163
-7smOzs_WB4,News & Politics,18649,555,24,47
-7vHQQ4dH_E,Film & Animation,383607,9777,305,736
-7y_8RILtUs,Entertainment,160486,14880,220,754
-7zVNRZE7ns,Music,1319049,0,0,4982
-80miaG2wF0,Autos & Vehicles,1375402,70635,1529,4543
-848zLwyD3o,Science & Technology,182784,15197,293,1412
-84tyDebx5I,Music,7536889,1067464,5650,16707
-89ReJ8VnIM,Sports,2057778,44794,1090,5340
-8Kee_FCQMk,Entertainment,778610,15121,274,631
-8Ko1Ks05sI,Music,33051,159,17,2
-8UgmAg2dpc,Autos & Vehicles,62541,4162,111,182
-8YaQeWUNGI,Entertainment,1728779,226007,1286,5082
-8Yd0I9yHdw,Gaming,813869,83276,871,208
-8ZFJLNqqzg,People & Blogs,107621,6326,83,371
-8_syY1OoZk,People & Blogs,1271110,82460,1658,6843
-8e7Dyl8_-E,Entertainment,198196,1870,60,256
-8e7i95P6_0,Entertainment,781208,17370,626,2080
-8sU7XHC6rY,Comedy,523930,33897,182,1014
-8xT0uB0yII,,845971,4970,697,3060
-92HQA0GcI8,Education,643865,31014,932,4165
-93noOqHujM,People & Blogs,147076,16596,678,1666
-93rx4Xektk,Gaming,34588,689,384,55
-969MTWsRTc,Howto & Style,368682,32448,504,1009
-98yOwwA8Mc,Entertainment,918743,12616,310,216
-9ApA08thoo,Film & Animation,219077,2883,60,233
-9B1lQ7TeNE,News & Politics,376652,9704,83,953
-9Lz9_beRK4,People & Blogs,477964,20538,12764,5290
-9NrhovMXPU,People & Blogs,286823,29334,238,5224
-9_tny4LTtY,News & Politics,110107,8289,183,1346
-9fOoeMdJDI,Entertainment,303296,13734,971,3166
-9iAwwZrxiY,Entertainment,569978,24368,528,4037
-9jrmDP1crU,Entertainment,250905,5302,76,456
-9oN_rI_yPI,Film & Animation,80220,1014,44,43
-9ti97lit5w,Education,38695,6881,110,442
-9tzgXx-f-o,Autos & Vehicles,86097,6800,141,1054
-9wEDKHDBG8,News & Politics,1158839,7984,6474,5536
-A-rx5Ka5Tk,Sports,126206,1382,52,281
-A3NNl0rdWs,Gaming,2358547,134602,8098,9849
-A4rLAQyX1c,Entertainment,402612,4231,158,305
-A8k8GMfbtU,Entertainment,844299,25187,527,1739
-ADqWoO7flg,News & Politics,235721,3851,1019,1178
-AEj1BY5xM8,Gaming,112185,7932,1013,203
-AJD1Fc5rpQ,Howto & Style,413369,35331,86,1602
-AUJQ7T5ptM,Entertainment,1766824,256938,2911,12335
-AVpS4_PrbM,Entertainment,976123,34844,1570,1736
-AYBkkM-2Ts,News & Politics,37368,419,59,0
-A_yphl5K7I,Music,74860,5018,48,499
-AazZTLQa3o,Entertainment,464590,5468,297,1008
-Af2sPnjWfA,People & Blogs,31079,1526,19,71
-AfgQ0J_kDk,Comedy,1482531,129557,1909,3118
-Ag0HiFEnVA,Science & Technology,235792,1138,185,580
-AiCVO7iVN0,Entertainment,3376534,296739,4425,9877
-AjS3njEKeY,Entertainment,241097,36633,539,1186
